,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
2643,6.6,37845,2016,0,8,2,2,Grand,13.006036281353317
2644,6.8,38745,2016,0,16,2,2,Ertiga,13.319070957360985
2645,6.7,32541,2016,0,13,0,2,TUV300,13.413932385923117
2646,7.4,23254,2015,0,27,0,2,Innova,13.895450491125922
2647,6.9,52447,2017,0,27,0,2,Innova,14.489820934670387
2648,7.1,26654,2018,0,8,2,2,Creta,13.99070343264077
2649,6.9,23408,2018,0,8,0,2,Creta,14.068622924540579
2650,6.7,36955,2016,0,16,2,2,Ertiga,13.401643754248132
2651,7.3,53655,2017,0,10,0,2,Compass,14.340824714202675
2652,7.0,52484,2017,0,23,0,2,Captur,13.938425292789129
2653,7.1,17484,2018,0,27,0,2,Innova,14.438689570161278
2654,7.1,21425,2004,0,25,0,2,Octavia,12.330738606085962
2655,6.6,22114,2011,0,8,2,2,i10,12.335626136785473
2656,6.7,23652,2015,0,7,0,2,Mobilio,13.482433551022101
2657,7.3,23652,2015,0,27,2,2,Etios,13.173130633457973
2658,6.7,89695,1999,0,8,2,2,Santro,10.294617061876925
2659,8.1,37895,2010,0,27,2,2,Innova,13.409529816940305
2660,7.1,53556,2017,0,10,0,2,Compass,14.34102635089012
2661,6.4,37844,2016,0,16,0,2,Vitara,13.606517662191486
2662,7.1,41336,2017,0,13,0,2,XUV500,14.173612882710154
2663,6.9,41203,2017,0,23,0,2,Captur,13.9666355220698
2664,6.6,29698,2017,0,16,2,2,Wagon,12.90576337033113
2665,6.9,32655,2016,0,8,0,2,i20,13.312744038866185
2666,6.5,36525,2019,0,23,2,2,KWID,12.803452041600739
2667,7.2,36855,2014,0,16,2,2,Omni,11.940804167915292
2668,6.9,41284,2017,0,10,0,2,Compass,14.18613436262352
2669,6.6,24528,2017,0,16,2,2,Omni,12.338569127819687
2670,6.7,49650,2010,0,16,2,2,Zen,11.883944045344025
2671,7.0,41855,2017,0,16,2,2,Omni,12.89921982609012
2672,6.7,35258,2012,0,8,0,2,Verna,13.066522918209893
2673,7.2,37455,2013,0,7,2,2,Brio,12.42965610007277
2674,6.6,29855,2017,0,13,0,2,TUV300,13.574845650275549
2675,7.3,42542,2014,0,27,0,2,Innova,13.909313238425865
2676,6.7,45652,2015,0,7,2,2,Jazz,13.023890200594868
2677,6.7,87484,2010,0,16,2,2,Zen,11.829063790331784
2678,6.7,78960,2013,0,28,0,2,Polo,12.772110624124345
2679,6.7,69300,2012,0,7,2,2,City,12.879937613354787
2680,7.1,78450,2013,0,27,0,2,Innova,13.577016031032956
2681,6.7,86958,2004,0,20,0,2,Pajero,12.789025423782407
2682,6.7,41125,2012,0,16,2,2,Wagon,12.28654602968005
2683,6.7,39589,2015,0,23,0,2,Duster,13.70676431720224
2684,7.3,21452,2014,0,13,0,2,XUV500,13.607049932967232
2685,6.8,12336,2018,0,16,2,2,Baleno,13.390333438454185
2686,6.7,64452,2008,0,16,0,2,Swift,12.491976888579371
2687,6.7,29858,2016,0,16,0,2,Swift,13.205691144893954
2688,6.7,33478,2012,0,16,2,2,Swift,12.7236394960825
2689,6.8,66365,2013,0,27,0,2,Innova,13.772839980867609
2690,6.7,99856,2009,0,16,2,2,Alto,11.623697312924108
2691,7.2,47859,2017,0,8,2,2,Creta,13.656523032770743
2692,7.0,26525,2016,0,8,0,2,Creta,13.9322770771428
2693,7.0,23654,2016,0,8,0,2,Creta,13.933960926460115
2694,6.9,23652,2016,0,27,0,2,Fortuner,14.71591334217558
2695,7.3,12745,2018,0,0,0,2,Q3,15.129561592014149
2696,6.9,13456,2018,0,13,0,2,XUV500,14.362328805589812
2697,7.2,13745,2018,0,13,0,2,XUV500,14.362328805589812
